source,target,number
"Hu, Y","Guo, Y",2
"Hu, Y","Li, J",2
"Hu, Y","Wang, Y",2
"Hu, Y","Yu, J",2
"Huang, E","Giger, ML",2
"Huang, E","Ji, Y",2
"Huang, E","Morris, EA",2
"Huang, E","Net, JM",2
"Huang, E","Perou, CM",2
"Huang, E","Whitman, GJ",2
"Huang, EP","Rao, A",2
"Huang, W","Liang, C",2
"Huang, W","Tian, J",2
"Huang, W","Ouyang, F",3
"Huang, W","Zhang, B",4
"Huang, W","Zhang, S",4
"Huang, X","Liang, C",2
"Huang, Y","Chen, X",2
"Huang, Y","Dong, D",2
"Huang, Y","Tian, J",2
"Huang, Y","Ma, Z",2
"Huang, Y","Ma, Z",3
"Huang, Y","Liang, C",3
"Huang, Y","Liu, Z",5
"Huang, Y","Liang, C",8
"Hunt, D","Moros, EG",2
"Hunt, DC","Gillies, RJ",2
"Hunt, DC","Latifi, K",2
"Hunt, DC","Moros, EG",2
"Hunt, DC","Ullah, G",2
"Huynh, E","Aerts, HJWL",2
"Huynh, E","Franco, I",2
"Huynh, E","Hou, Y",2
"Huynh, E","Mak, RH",2
"Huynh, E","Narayan, V",2
"Huynh, E","Romano, J",2
"Huynh, E","Mak, RH",3
"Huynh, E","Aerts, HJ",3
"Jeong, JY","Kim, HS",2
"Jeong, JY","Kim, J",2
"Jeong, JY","Sohn, I",2
"Jeong, JY","Lee, HY",3
"Jeong, JY","Lee, KS",3
"Jeong, JY","Shim, YM",3
"Jermoumi, M","Aerts, HJ",2
"Jermoumi, M","Kikinis, R",2
"Jermoumi, M","Lambin, P",2
"Jermoumi, M","Mak, RH",2
"Jiang, K","Centeno, BA",2
"Jiang, K","Coppola, D",2
"Jiang, K","Gillies, R",2
"Jiang, K","Magliocco, A",2
"Jiang, K","Merchant, N",2
"Jiang, T","Liu, X",3
"Jiang, T","Wang, Y",3
"Jones, AK","Stingo, F",2
"Jones, AK","Zhang, L",3
"Jones, AK","Court, L",4
"Jones, AK","Mackin, D",4
"Kamaya, A","Kothary, N",2
"Kamaya, A","Louie, J",2
"Kamaya, A","Napel, S",2
"Kauczor, HU","Flechsig, P",2
"Kauczor, HU","Giesel, FL",2
"Kauczor, HU","Haberkorn, U",2
"Kauczor, HU","Schwartz, LH",2
"Khalvati, F","Wong, A",2
"Khalvati, F","Wong, A",3
"Kickingereder, P","Bendszus, M",2
"Kickingereder, P","Bonekamp, D",2
"Kickingereder, P","Götz, M",2
"Kickingereder, P","Maier-Hein, KH",2
"Kickingereder, P","Radbruch, A",2
"Kickingereder, P","Schlemmer, HP",2
"Kickingereder, P","Wick, A",2
"Kickingereder, P","Wick, W",2
"Kikinis, R","Aerts, HJ",2
"Kikinis, R","Lambin, P",2
"Kim, H","Goo, JM",2
"Kim, H","Park, CM",2
"Kim, H","Park, SJ",2
"Kim, HS","Lee, KS",2
"Kim, HS","Shim, YM",2
"Kim, J","Centeno, BA",2
"Kim, J","Coppola, D",2
"Kim, J","Dilling, TJ",2
"Kim, J","Gillies, R",2
"Kim, J","Huynh, E",2
"Kim, J","Jiang, K",2
"Kim, J","Magliocco, A",2
"Kim, J","Mak, RH",2
"Kim, J","Merchant, N",2
"Kim, J","Moros, EG",2
"Kim, J","Parmar, C",2
"Kim, J","Schabath, MB",2
"Kim, J","Shim, YM",2
"Kim, J","Stringfield, O",2
"Kim, J","Gillies, RJ",3
"Kim, J","Latifi, K",3
"Kim, J","Lee, KS",3
"Kim, J","Liu, Y",3
"Kim, J","Ye, Z",3
"Kim, J","Balagurunathan, Y",4
"Kim, J","Li, Q",4
"Kirienko, M","Sollini, M",3
"Kirienko, M","Sollini, M",3
"Kothary, N","Napel, S",2
"Kotrotsou, A","Hassan, I",2
"Kotrotsou, A","Zinn, PO",2
"Kotrotsou, A","Colen, RR",3
"Kratochwil, C","Flechsig, P",2
"Kratochwil, C","Giesel, FL",2
"Kratochwil, C","Haberkorn, U",2
"Kratochwil, C","Kauczor, HU",2
"Kratochwil, C","Moltz, J",2
"Kratochwil, C","Rath, D",2
"Kratochwil, C","Schwartz, LH",2
"Kwon, D","Stoyanova, R",2
"Lambin, P","Mak, RH",3
"Lan, L","Ji, Y",2
"Lan, L","Giger, ML",3
"Larue, RTHM","Lambin, P",2
"Larue, RTHM","Leijenaar, RTH",2
"Larue, RTHM","Schreurs, WMJ",2
"Larue, RTHM","Sosef, MN",2
"Larue, RTHM","van Elmpt, W",2
"Larue, RTHM","van Timmeren, JE",2
"Latifi, K","Ullah, G",2
"Latifi, K","Ye, Z",2
"Latifi, K","Zhang, G",2
"Latifi, K","Li, Q",3
"Latifi, K","Schabath, MB",3
"Latifi, K","Gillies, RJ",4
"Latifi, K","Moros, EG",6
"Le Rest, CC","Visvikis, D",2
"Lee, G","Kim, J",2
"Lee, G","Lee, HY",2
"Lee, G","Lee, KS",2
"Lee, G","Sohn, I",2
"Lee, HY","Choi, YL",2
"Lee, HY","Kim, HS",2
"Lee, HY","Kim, J",3
"Lee, HY","Shim, YM",3
"Lee, HY","Sohn, I",3
"Lee, HY","Lee, KS",4
"Lee, KS","Shim, YM",3
"Lee, NY","Oh, JH",2
"Lee, NY","Schöder, H",2
"Lee, NY","Deasy, JO",3
"Lee, SW","Mak, RH",2
"Leijenaar, RT","Bussink, J",2
"Leijenaar, RT","Carvalho, S",2
"Leijenaar, RT","Gillies, RJ",2
"Leijenaar, RT","Parmar, C",2
"Leijenaar, RT","Rietbergen, MM",2
"Leijenaar, RT","Rietveld, D",2
"Leijenaar, RT","Boellaard, R",2
"Leijenaar, RT","Parmar, C",2
"Leijenaar, RT","Rios Velazquez, E",3
"Leijenaar, RT","Carvalho, S",3
"Leijenaar, RT","Gillies, RJ",3
"Leijenaar, RT","Lambin, P",3
"Leijenaar, RT","van Elmpt, WJ",3
"Leijenaar, RT","Aerts, HJ",4
"Leijenaar, RT","Haibe-Kains, B",4
"Leijenaar, RT","Aerts, HJ",4
"Leijenaar, RT","Lambin, P",6
"Leijenaar, RTH","Reymen, B",2
"Leijenaar, RTH","Schreurs, WMJ",2
"Leijenaar, RTH","Sosef, MN",2
"Leijenaar, RTH","van Elmpt, W",4
"Leijenaar, RTH","Lambin, P",6
"Li, H","Guo, W",2
"Li, H","Ji, Y",2
"Li, H","Zhu, Y",2
"Li, H","Conzen, SD",2
"Li, H","Fan, C",2
"Li, H","Giger, ML",2
"Li, H","Hoadley, KA",2
"Li, H","Huang, E",2
"Li, H","Ji, Y",2
"Li, H","Morris, E",2
"Li, H","Net, JM",2
"Li, H","Perou, CM",2
"Li, H","Whitman, GJ",2
"Li, H","Lan, L",3
"Li, H","Sutton, EJ",3
"Li, H","Zhu, Y",3
"Li, H","Giger, ML",5
"Li, J","Chang, C",2
"Li, J","Guo, Y",2
"Li, J","Wang, Y",2
"Li, J","Yu, J",2
"Li, Q","Stringfield, O",2
"Li, Q","Ye, Z",2
"Li, Q","Dilling, TJ",2
"Li, Q","Gillies, RJ",2
"Li, Q","Moros, EG",2
"Li, Q","Schabath, MB",2
"Li, Q","Stringfield, O",2
"Li, Q","Ye, Z",2
"Li, Q","Gillies, RJ",3
"Li, S","Jiang, T",3
"Li, S","Liu, X",3
"Li, S","Wang, Y",3
"Li, W","Tian, J",2
"Li, Y","Fan, X",3
"Li, Y","Jiang, T",3
"Li, Y","Li, S",3
"Li, Y","Liu, X",3
"Li, Y","Qian, Z",3
"Li, Y","Wang, K",3
"Li, Y","Wang, Y",3
"Li, Y","Xu, K",3
"Li, Z","Wang, Y",2
"Li, Z","Yu, J",2
"Li, Z","Guo, Y",2
"Li, Z","Wang, Y",2
"Li, Z","Yu, J",3
"Li, ZC","Li, Q",2
"Lian, Y","Chen, L",2
"Lian, Y","Mao, Y",2
"Lian, Y","Wang, Y",2
"Lian, Z","Huang, W",2
"Lian, Z","Liang, C",2
"Lian, Z","Liu, J",2
"Lian, Z","Luo, X",2
"Lian, Z","Mo, X",2
"Lian, Z","Pei, S",2
"Lian, Z","Zhang, B",2
"Lian, Z","Zhang, S",2
"Liang, C","Xie, J",2
"Liang, C","Zhang, B",2
"Liang, C","Zhang, S",2
"Liang, C","Tian, J",4
"Liang, C","Liu, Z",5
"Liang, C","Tian, J",6
"Liang, C","Liu, Z",9
"Limkin, E","Deutsch, E",2
"Limkin, E","Escande, A",2
"Limkin, E","Haie-Meder, C",2
"Limkin, E","Robert, C",2
"Liu, J","Huang, W",2
"Liu, J","Liang, C",2
"Liu, J","Luo, X",2
"Liu, J","Mo, X",2
"Liu, J","Pei, S",2
"Liu, J","Zhang, B",2
"Liu, J","Zhang, S",2
"Liu, T","Yu, J",2
"Liu, X","Xu, K",2
"Liu, X","Qian, Z",3
"Liu, X","Wang, K",3
"Liu, X","Wang, Y",3
"Liu, Y","Aerts, HJWL",2
"Liu, Y","Dilling, TJ",2
"Liu, Y","Garcia, A",2
"Liu, Y","Latifi, K",2
"Liu, Y","Lu, H",2
"Liu, Y","Moros, EG",2
"Liu, Y","Parmar, C",2
"Liu, Y","Tian, Q",2
"Liu, Y","Wu, Y",2
"Liu, Y","Yang, Z",2
"Liu, Y","Zhang, X",2
"Liu, Y","Stringfield, O",2
"Liu, Y","Li, Q",3
"Liu, Y","Li, Q",4
"Liu, Y","Schabath, MB",4
"Liu, Y","Stringfield, O",4
"Liu, Y","Ye, Z",4
"Liu, Y","Gillies, RJ",5
"Liu, Z","Shen, C",2
"Liu, Z","Wang, S",2
"Liu, Z","Tian, J",3
"Liu, Z","Ma, Z",4
"Liu, Z","Tian, J",6
"Louie, AV","Senan, S",2
"Louie, AV","Ward, AD",2
"Louie, J","Kothary, N",2
"Louie, J","Napel, S",2
"Lu, L","Zhao, B",2
"Lu, L","Chen, W",2
"Lu, L","Feng, Q",2
"Lu, L","Jiang, J",2
"Lu, L","Lv, W",2
"Lu, L","Zhao, B",2
"Lu, L","Rahmim, A",3
"Luo, X","Huang, W",2
"Luo, X","Liang, C",2
"Luo, X","Mo, X",2
"Luo, X","Pei, S",2
"Luo, X","Zhang, B",2
"Luo, X","Zhang, S",2
"Ma, J","Ren, Y",2
"Ma, J","Lu, L",3
"Ma, Z","Tian, J",2
"Ma, Z","Liang, C",3
"Ma, Z","Liang, C",6
"Mackin, D","Court, LE",2
"Mackin, D","Stingo, F",2
"Mackin, D","Yang, J",3
"Mackin, D","Yang, J",4
"Madabhushi, A","Tiwari, P",7
"Magliocco, A","Gillies, R",2
"Magliocco, A","Merchant, N",2
"Maier-Hein, KH","Radbruch, A",2
"Maier-Hein, KH","Wick, W",2
"Maier-Hein, KH","Bonekamp, D",3
"Maier-Hein, KH","Schlemmer, HP",3
"Mak, RH","Kikinis, R",2
"Mak, RH","Aerts, HJWL",3
"Mak, RH","Aerts, HJ",7
"Mattonen, SA","Louie, AV",2
"Mattonen, SA","Palma, DA",2
"Mattonen, SA","Senan, S",2
"Mattonen, SA","Ward, AD",2
"Merchant, N","Gillies, R",2
"Mo, X","Liang, C",2
"Mo, X","Tian, J",2
"Mo, X","Ouyang, F",3
"Mo, X","Huang, W",4
"Mo, X","Zhang, B",4
"Mo, X","Zhang, S",4
"Moltz, J","Flechsig, P",2
"Moltz, J","Giesel, FL",2
"Moltz, J","Haberkorn, U",2
"Moltz, J","Kauczor, HU",2
"Moltz, J","Schwartz, LH",2
"Monshouwer, R","Lambin, P",2
"Montin, E","Corino, VDA",2
"Montin, E","Mainardi, LT",2
"Moros, EG","Ye, Z",2
"Moros, EG","Schabath, MB",3
"Morris, EA","Ji, Y",2
"Morris, EA","Perou, CM",2
"Morris, EA","Zuley, M",2
"Morris, EA","Net, JM",3
"Morris, EA","Whitman, GJ",3
"Narayan, V","Alexander, BM",2
"Narayan, V","Franco, I",2
"Narayan, V","Grossmann, P",2
"Narayan, V","Lee, SW",2
"Narayan, V","Parmar, C",2
"Narayan, V","Romano, J",2
"Narayan, V","Wen, PY",2
"Narayan, V","Aerts, HJ",3
"Narayan, V","Hou, Y",3
"Narayan, V","Aerts, HJWL",4
"Narayan, V","Mak, RH",4
"Net, JM","Ganott, M",2
"Net, JM","Giger, ML",2
"Net, JM","Zuley, M",2
"Net, JM","Whitman, GJ",3
"Oh, JH","Schöder, H",2
"Oliver, JA","Budzevich, M",2
"Oliver, JA","Hunt, D",2
"Oliver, JA","Moros, EG",2
"Oliver, JA","Zhang, GG",2
"Oliver, JA","Dilling, TJ",3
"Orlhac, F","Buvat, I",2
"Orlhac, F","Chargari, C",2
"Orlhac, F","Dercle, L",2
"Orlhac, F","Deutsch, E",2
"Orlhac, F","Escande, A",2
"Orlhac, F","Haie-Meder, C",2
"Orlhac, F","Limkin, E",2
"Orlhac, F","Robert, C",2
"Ouyang, F","Tian, J",2
