source,target,number
"Bai, HX","Zhang, Z",1
"Bai, HX","Zhou, J",1
"Bai, Y","Wang, MY",1
"Bakr, S","Echegaray, S",2
"Bakr, S","Napel, S",1
"Bakr, S","Rubin, DL",1
"Bakr, S","Gevaert, O",1
"Bakr, S","Kamaya, A",1
"Bakr, S","Kothary, N",1
"Bakr, S","Louie, J",1
"Bakr, S","Napel, S",1
"Bakr, S","Shah, R",1
"Baladandayuthapani, V","Zhu, H",1
"Balagurunathan, Y","Gillies, RJ",7
"Balagurunathan, Y","Liu, Y",5
"Balagurunathan, Y","Schabath, MB",5
"Balagurunathan, Y","Li, Q",4
"Balagurunathan, Y","Stringfield, O",4
"Balagurunathan, Y","Latifi, K",3
"Balagurunathan, Y","Moros, EG",3
"Balagurunathan, Y","Ye, Z",3
"Balagurunathan, Y","Dilling, TJ",2
"Balagurunathan, Y","Garcia, A",2
"Balagurunathan, Y","Gillies, R",2
"Balagurunathan, Y","Goldgof, D",2
"Balagurunathan, Y","Abdalah, MA",1
"Balagurunathan, Y","Centeno, BA",1
"Balagurunathan, Y","Coppola, D",1
"Balagurunathan, Y","Court, LE",1
"Balagurunathan, Y","Davicioni, E",1
"Balagurunathan, Y","Garcia, AL",1
"Balagurunathan, Y","Goldgof, DG",1
"Balagurunathan, Y","Hall, L",1
"Balagurunathan, Y","Hodul, P",1
"Balagurunathan, Y","Jiang, K",1
"Balagurunathan, Y","Karreth, FA",1
"Balagurunathan, Y","Klapman, J",1
"Balagurunathan, Y","Lambin, P",1
"Balagurunathan, Y","Mackin, D",1
"Balagurunathan, Y","Magliocco, A",1
"Balagurunathan, Y","Malafa, MP",1
"Balagurunathan, Y","Merchant, N",1
"Balagurunathan, Y","Pollack, A",1
"Balagurunathan, Y","Punnen, S",1
"Balagurunathan, Y","Qi, J",1
"Balagurunathan, Y","Trevino, JG",1
"Balarunathan, Y","Centeno, BA",1
"Balarunathan, Y","Chen, DT",1
"Balarunathan, Y","Chen, L",1
"Balarunathan, Y","Coppola, D",1
"Balarunathan, Y","Doepker, MP",1
"Balarunathan, Y","Gage, K",1
"Balarunathan, Y","Gillies, R",1
"Balarunathan, Y","Hoffe, S",1
"Balarunathan, Y","Jiang, K",1
"Balarunathan, Y","Kim, J",1
"Balarunathan, Y","Latifi, K",1
"Balarunathan, Y","Li, Q",1
"Balarunathan, Y","Magliocco, A",1
"Balarunathan, Y","Malafa, M",1
"Balarunathan, Y","Merchant, N",1
"Balarunathan, Y","Orcutt, S",1
"Balarunathan, Y","Trevino, J",1
"Balarunathan, Y","Zhang, G",1
"Balermpas, P","Baumann, M",1
"Balermpas, P","Belka, C",1
"Balermpas, P","Combs, SE",1
"Balermpas, P","Ganswindt, U",1
"Balermpas, P","Krause, M",1
"Balermpas, P","Löck, S",1
"Balermpas, P","Mönnich, D",1
"Balermpas, P","Pigorsch, S",1
"Balermpas, P","Richter, C",1
"Balermpas, P","Rödel, C",1
"Balermpas, P","Troost, EGC",1
"Balermpas, P","Zips, D",1
"Balter, P","Court, L",2
"Balter, P","Followill, D",2
"Balter, P","Gomez, D",2
"Balter, P","Jones, AK",2
"Balter, P","Mackin, D",2
"Balter, P","Stingo, F",2
"Balter, P","Fontenot, J",1
"Balter, P","Liao, Z",1
"Balter, P","Mohan, R",1
"Balter, P","Zhang, L",1
"Bang, JI","Kim, EK",1
"Bang, JI","Lee, HY",1
"Bantis, LE","Feng, Z",1
"Bantis, LE","Katz, MH",1
"Bantis, LE","Koay, EJ",1
"Bantis, LE","Maitra, A",1
"Bantis, LE","Tamm, EP",1
"Bantis, LE","Wang, H",1
"Bao, ML","Wang, XN",1
"Bao, ML","Zhang, J",1
"Bao, ML","Zhang, YD",1
"Batchelder, KA","Arneodo, A",1
"Batchelder, KA","Gerasimova-Chechkina, E",1
"Batchelder, KA","Guimond, L",1
"Batchelder, KA","Harrow, AR",1
"Batchelder, KA","Khalil, A",1
"Batchelder, KA","Toner, BC",1
"Bateson, M","Deutsch, E",1
"Bateson, M","Durand, PB",1
"Bateson, M","Ferté, C",1
"Bateson, M","Haspinger, E",1
"Bateson, M","Jaudet, C",1
"Bateson, M","Massard, C",1
"Bateson, M","Soria, JC",1
"Bateson, M","Varga, A",1
"Bauer, C","Ahmadvand, P",1
"Bauer, C","Buatti, JM",1
"Bauer, C","Budzevich, MM",1
"Bauer, C","Gillies, RJ",1
"Bauer, C","Goldgof, D",1
"Bauer, C","Grkovski, M",1
"Bauer, C","Hamarneh, G",1
"Bauer, C","Huang, Q",1
"Bauer, C","Kinahan, PE",1
"Bauer, C","Laymon, CM",1
"Bauer, C","Mountz, JM",1
"Bauer, C","Muzi, JP",1
"Bauer, C","Muzi, M",1
"Bauer, C","Nehmeh, S",1
"Bauer, C","Oborski, MJ",1
"Bauer, C","Sunderland, JJ",1
"Bauer, C","Tan, Y",1
"Bauer, C","Ulrich, EJ",1
"Bauer, C","Zhao, B",1
"Baum, SA","Moore, GJ",1
"Baumann, M","Löck, S",1
"Baumann, M","Richter, C",1
"Baumann, M","Troost, EGC",1
"Beets-Tan, RGH","Aerts, HJWL",1
"Beets-Tan, RGH","Fillion-Robin, JC",1
"Beets-Tan, RGH","Pieper, S",1
"Behrens, C","Chang, JY",1
"Behrens, C","Court, LE",1
"Behrens, C","Erasmus, JJ",1
"Behrens, C","Parra Cuentas, ER",1
"Behrens, C","Rodriguez Canales, J",1
"Beichel, RR","Ahmadvand, P",1
"Beichel, RR","Bauer, C",1
"Beichel, RR","Buatti, JM",1
"Beichel, RR","Budzevich, MM",1
"Beichel, RR","Gillies, RJ",1
"Beichel, RR","Goldgof, D",1
"Beichel, RR","Grkovski, M",1
"Beichel, RR","Hamarneh, G",1
"Beichel, RR","Huang, Q",1
"Beichel, RR","Kinahan, PE",1
"Beichel, RR","Laymon, CM",1
"Beichel, RR","Mountz, JM",1
"Beichel, RR","Muzi, JP",1
"Beichel, RR","Muzi, M",1
"Beichel, RR","Nehmeh, S",1
"Beichel, RR","Oborski, MJ",1
"Beichel, RR","Smith, BJ",1
"Beichel, RR","Sunderland, JJ",1
"Beichel, RR","Tan, Y",1
"Beichel, RR","Ulrich, EJ",1
"Beichel, RR","Zhao, B",1
"Beig, N","Gilkeson, RC",1
"Beig, N","Jacono, F",1
"Beig, N","Linden, P",1
"Beig, N","Madabhushi, A",1
"Beig, N","Orooji, M",1
"Beig, N","Rajiah, P",1
"Beig, N","Rakshit, S",1
"Beig, N","Reddy, N",1
"Beig, N","Velcheti, V",1
"Beig, N","Yang, M",1
"Beird, HC","Allison, JP",1
"Beird, HC","Amaria, RN",1
"Beird, HC","Austin-Breneman, J",1
"Beird, HC","Bernatchez, C",1
"Beird, HC","Carter, BW",1
"Beird, HC","Chen, E",1
"Beird, HC","Chen, WS",1
"Beird, HC","Chin, L",1
"Beird, HC","Clise-Dwyer, K",1
"Beird, HC","Cogdill, AP",1
"Beird, HC","Cooper, ZA",1
"Beird, HC","Davies, MA",1
"Beird, HC","Diab, A",1
"Beird, HC","Forget, MA",1
"Beird, HC","Futreal, PA",1
"Beird, HC","Garber, HR",1
"Beird, HC","Gershenwald, JE",1
"Beird, HC","Glitza, IC",1
"Beird, HC","Grimm, EA",1
"Beird, HC","Gumbs, C",1
"Beird, HC","Haymaker, C",1
"Beird, HC","Hu, J",1
"Beird, HC","Hudgens, CW",1
"Beird, HC","Hwu, P",1
"Beird, HC","Lazar, AJ",1
"Beird, HC","Lee, JE",1
"Beird, HC","Little, LD",1
"Beird, HC","Nezi, L",1
"Beird, HC","Patel, SP",1
"Beird, HC","Roh, W",1
"Beird, HC","Roszik, J",1
"Beird, HC","Sharma, P",1
"Beird, HC","Sloane, RS",1
"Beird, HC","Tawbi, H",1
"Beird, HC","Tetzlaff, MT",1
"Beird, HC","Thornton, RL",1
"Beird, HC","Wani, K",1
"Beird, HC","Wargo, JA",1
"Beird, HC","Wistuba, II",1
"Beird, HC","Woodman, SE",1
"Beird, HC","Zhang, J",1
"Belani, P","Singer, EA",1
"Belka, C","Baumann, M",1
"Belka, C","Combs, SE",1
"Belka, C","Krause, M",1
"Belka, C","Löck, S",1
"Belka, C","Mönnich, D",1
"Belka, C","Pigorsch, S",1
"Belka, C","Richter, C",1
"Belka, C","Troost, EGC",1
"Belka, C","Zips, D",1
"Ben Bashat, D","Blumenthal, DT",1
"Ben Bashat, D","Bokstein, F",1
"Ben Bashat, D","Haim, O",1
"Ben Bashat, D","Kashanian, A",1
"Ben Bashat, D","Liberman, G",1
"Ben Bashat, D","Ram, Z",1
"Ben Bashat, D","Shahar, T",1
"Bendl, R","Giske, K",1
"Bendszus, M","Bonekamp, D",2
"Bendszus, M","Maier-Hein, KH",2
"Bendszus, M","Radbruch, A",2
"Berbée, M","Lambin, P",1
"Berbée, M","Schreurs, WMJ",1
"Berbée, M","Sosef, MN",1
"Berbée, M","van Elmpt, W",1
"Bergmann, R","Budán, F",1
"Bergmann, R","Máthé, D",1
"Bergmann, R","Pócsik, M",1
"Bernatchez, C","Allison, JP",1
"Bernatchez, C","Amaria, RN",1
"Bernatchez, C","Carter, BW",1
"Bernatchez, C","Chin, L",1
"Bernatchez, C","Clise-Dwyer, K",1
"Bernatchez, C","Cooper, ZA",1
"Bernatchez, C","Davies, MA",1
"Bernatchez, C","Diab, A",1
"Bernatchez, C","Futreal, PA",1
"Bernatchez, C","Gershenwald, JE",1
"Bernatchez, C","Glitza, IC",1
"Bernatchez, C","Grimm, EA",1
"Bernatchez, C","Hu, J",1
"Bernatchez, C","Hwu, P",1
"Bernatchez, C","Lazar, AJ",1
"Bernatchez, C","Lee, JE",1
"Bernatchez, C","Patel, SP",1
"Bernatchez, C","Roszik, J",1
"Bernatchez, C","Sharma, P",1
"Bernatchez, C","Tawbi, H",1
"Bernatchez, C","Tetzlaff, MT",1
"Bernatchez, C","Wargo, JA",1
"Bernatchez, C","Wistuba, II",1
"Bernatchez, C","Woodman, SE",1
"Bernatchez, C","Zhang, J",1
"Beroukhim, R","Aerts, HJWL",1
"Beroukhim, R","Alexander, BM",1
"Beroukhim, R","Al-Mefty, O",1
"Beroukhim, R","Dunn, IF",1
"Beroukhim, R","Huang, RY",1
"Beroukhim, R","Santagata, S",1
"Beroukhim, R","Wen, PY",1
"Bessen, T","Bradley, AP",1
"Bessen, T","Nascimento, JC",1
"Bessen, T","Palmer, LJ",1
"Beyer, T","Hacker, M",1
"Beyer, T","Traub-Weidinger, T",1
"Bhadra, A","Chen, JY",1
"Bhadra, A","Fevrier-Sullivan, B",1
"Bhadra, A","Freymann, JB",1
"Bhadra, A","Holder, CA",1
"Bhadra, A","Huang, EP",1
"Bhadra, A","Hwang, SN",1
"Bhadra, A","Rao, A",1
"Bhadra, A","Ravikumar, V",1
"Bhadra, A","Wintermark, M",1
"Biagioli, MC","Moros, EG",1
"Bickelhaupt, S","Bonekamp, D",1
"Bickelhaupt, S","Daniel, H",1
"Bickelhaupt, S","Gählert, N",1
"Bickelhaupt, S","Götz, M",1
"Bickelhaupt, S","Kickingereder, P",1
"Bickelhaupt, S","Laun, FB",1
"Bickelhaupt, S","Lederer, W",1
